,Country,City,Latitude,Longitude
347,am,pshatavan,40.040555600000005,44.0675
348,am,ptghni,40.256666700000004,44.585
349,am,ranchpar,40.0252778,44.3702778
350,am,rind,39.7597222,45.18
351,am,samaghar,40.1852778,44.2422222
352,am,saramech,40.7725,44.2191667
353,am,saratak,40.67,43.8663889
354,am,sarigyukh,41.056388899999995,45.1458333
355,am,sarukhan,40.2891667,45.1341667
356,am,sasunik,40.2472222,44.338055600000004
357,am,sevan,40.555,44.9536111
358,am,shaghat,39.5616667,45.9122222
359,am,shahumyan,39.930833299999996,44.5783333
360,am,shahumyan,40.7883333,44.5316667
361,am,shatin,39.8333333,45.3016667
362,am,shenavan,40.4861111,44.3825
363,am,shenavan,40.05,43.9333333
364,am,shinuhayr,39.4341667,46.3155556
365,am,shirakamut,40.860555600000005,44.1527778
366,am,shirak,40.8480556,43.9213889
367,am,shnogh,41.1477778,44.8377778
368,am,sisavan,39.9,44.6666667
369,am,sisian,39.4627778,45.9730556
370,am,sis,40.0586111,44.3863889
371,am,solak,40.4636111,44.708611100000006
372,am,sovetakan,40.1133333,44.0552778
373,am,spandaryan,40.665,44.01888889999999
375,am,surenavan,39.75,44.8
376,am,talin,40.33694439999999,43.8588889
377,am,tandzut,40.0772222,44.0886111
378,am,taronik,40.133055600000006,44.1991667
379,am,tashir,41.124444399999994,44.28194439999999
380,am,tazagyukh,40.1416667,45.1913889
381,am,tegh,39.5547222,46.4758333
382,am,tsaghkaber,40.7986111,44.1072222
383,am,tsaghkadzor,40.538611100000004,44.711388899999996
384,am,tsaghkahovit,40.6361111,44.2230556
385,am,tsiatsan,40.186944399999994,44.2666667
386,am,tsovagyugh,40.633055600000006,44.9522222
387,am,tsovak,40.1819444,45.635
388,am,tsovazard,40.476944399999994,45.0375
389,am,tsovinar,40.1608333,45.453888899999995
391,am,urut,41.0711111,44.396944399999995
392,am,ushi,40.3536111,44.3686111
393,am,vagharshapat,40.1727778,44.2925
394,am,vaghashen,40.1377778,45.3291667
395,am,vahagni,40.908055600000004,44.606944399999996
396,am,vahan,40.57,45.3955556
397,am,vanadzor,40.8127778,44.4883333
398,am,vardablur,40.95,44.466666700000005
399,am,vardadzor,40.1916667,45.1875
400,am,vardenik,40.135,45.4363889
401,am,vardenis,40.180555600000005,45.728333299999996
402,am,varser,40.5561111,44.91111110000001
403,am,vedi,39.9105556,44.7277778
404,am,verin artashat,40.000555600000006,44.585
405,am,verin dvin,40.0252778,44.5908333
406,am,verin getashen,40.1327778,45.248611100000005
407,am,verishen,39.5358333,46.311944399999994
408,am,vernashen,39.7938889,45.3633333
409,am,voskehask,40.7383333,43.775833299999995
410,am,voskehat,40.141388899999995,44.3291667
411,am,voskevan,41.1191667,45.0652778
412,am,voskevaz,40.2797222,44.295
413,am,vostan,39.9588889,44.5591667
414,am,yeghegnavan,39.8277778,44.637222200000004
415,am,yeghegnut,40.0902778,44.1625
416,am,yeghegnut,40.904166700000005,44.6325
417,am,yeghvard,40.3216667,44.4813889
418,am,yeraskhahun,40.0722222,44.2158333
419,am,yerazgavors,40.7,43.75
420,am,yerevan,40.1811111,44.513611100000006
421,am,zangakatun,39.8094444,45.0511111
422,am,zaritap,39.637222200000004,45.5086111
423,am,zar,40.2611111,44.7361111
424,am,zhdanov,40.161666700000005,44.088333299999995
425,am,zorak,40.0925,44.39194439999999
426,am,zoravan,40.356944399999996,44.523055600000006
427,am,zovaber,40.5736111,44.7863889
428,am,zovuni,40.5108333,44.4288889
429,an,barber,12.2833333,-69.0666667
430,an,golden rock,17.4833333,-62.9833333
431,an,kralendijk,12.15,-68.2666667
432,an,nieuwpoort,12.05,-68.8166667
433,an,oranjestad,17.466666699999998,-62.9833333
434,an,rincon,12.233333300000002,-68.33333329999999
435,an,sint michiel,12.133333300000002,-68.9833333
436,an,soto,12.266666699999998,-69.1
437,an,westpunt,12.366666699999998,-69.16666670000001
438,an,willemstad,12.1,-68.91666670000001
439,ao,benguela,-12.578333,13.407222
440,ao,caala,-12.8525,15.560556
441,ao,cabinda,-5.55,12.2
442,ao,caconda,-13.733332999999998,15.066667
443,ao,caluquembe,-13.783332999999999,14.683333
444,ao,camabatela,-8.18812,15.37495
445,ao,camacupa,-12.016667,17.483333
446,ao,catabola,-12.15,17.283333
447,ao,catumbela,-12.431389,13.547222
448,ao,caxito,-8.58,13.664167
449,ao,cazaje,-11.067147,20.701483
450,ao,chissamba,-12.166667,17.333333
451,ao,huambo,-12.776111,15.739167000000002
452,ao,kibala,-10.73366,14.979949
453,ao,kuito,-12.383333,16.933332999999998
454,ao,leua,-11.65,20.45
455,ao,lobito,-12.319722,13.599722
456,ao,longonjo,-12.906667,15.253333
457,ao,luanda,-8.836803999999999,13.233173999999998
458,ao,luau,-10.707272999999999,22.22466
459,ao,lubango,-14.916667000000002,13.5
460,ao,lucapa,-8.419151,20.744654999999998
461,ao,luena,-11.783333,19.916667
462,ao,lumeje,-11.55,20.783333
463,ao,malanje,-9.544722,16.345278
464,ao,menongue,-14.661639000000001,17.688223999999998
465,ao,namibe,-15.196110999999998,12.152222
466,ao,ondjiva,-17.066667000000002,15.733332999999998
467,ao,saurimo,-9.66078,20.391553
468,ao,soyo,-6.1349029999999996,12.368935
469,ao,sumbe,-11.206048,13.843713000000001
470,ao,uige,-7.613282000000001,15.056621
471,ar,alta gracia,-31.652925,-64.428259
472,ar,azul,-36.776976,-59.858539
473,ar,bahia blanca,-38.719595,-62.272431999999995
474,ar,bell ville,-32.625906,-62.68873000000001
475,ar,campana,-34.168742,-58.959140000000005
476,ar,catamarca,-28.469573999999998,-65.785239
477,ar,chacabuco,-34.641667,-60.473889
478,ar,chivilcoy,-34.895661,-60.016667000000005
479,ar,comodoro rivadavia,-45.864135,-67.496558
480,ar,concepcion del uruguay,-32.482493,-58.237217
481,ar,concordia,-31.392959,-58.02089
482,ar,cordoba,-31.413496000000002,-64.18105200000001
483,ar,corrientes,-27.480596000000002,-58.834099
484,ar,dolores,-36.313215,-57.679185
485,ar,eldorado,-26.404840999999998,-54.624784
486,ar,formosa,-26.177534,-58.178139
487,ar,general pico,-35.656622,-63.756815
488,ar,general roca,-39.02797,-67.573711
489,ar,goya,-29.14003,-59.262564000000005
490,ar,gualeguaychu,-33.009375,-58.517219999999995
491,ar,gualeguay,-33.141559,-59.309656999999994
492,ar,jujuy,-24.194565,-65.297116
493,ar,junin,-34.583816,-60.943318000000005
494,ar,la plata,-34.921454,-57.954533
495,ar,la rioja,-29.411047999999997,-66.850668
496,ar,libertador general san martin,-23.806442999999998,-64.78757399999999
497,ar,lincoln,-34.866494,-61.530196999999994
498,ar,lujan,-34.570278,-59.105
499,ar,lujan,-33.035471,-68.87782299999999
500,ar,mar del plata,-38.002278000000004,-57.557539
501,ar,mendoza,-32.890845,-68.82717099999999
502,ar,mercedes,-34.651455,-59.430676
503,ar,mercedes,-29.181858000000002,-58.078951
504,ar,mercedes,-33.674359,-65.461405
505,ar,necochea,-38.547259000000004,-58.736753
506,ar,neuquen,-38.951606,-68.059102
507,ar,nueve de julio,-35.444373999999996,-60.883131000000006
508,ar,obera,-27.487059000000002,-55.11994
509,ar,olavarria,-36.892715,-60.322540000000004
510,ar,parana,-31.731966999999997,-60.523802
511,ar,pergamino,-33.889949,-60.573568
512,ar,posadas,-27.367077000000002,-55.896078
513,ar,presidencia roque saenz pena,-26.785221000000003,-60.438761
514,ar,puerto madryn,-42.769201,-65.038513
515,ar,punta alta,-38.875875,-62.073589
516,ar,rafaela,-31.250332,-61.486695999999995
517,ar,rawson,-43.300158,-65.10228000000001
518,ar,reconquista,-29.15,-59.65
519,ar,resistencia,-27.460559999999997,-58.983886
520,ar,rio cuarto,-33.130671,-64.349918
521,ar,rio gallegos,-51.622613,-69.218127
522,ar,rio tercero,-32.173008,-64.11405500000001
523,ar,rivadavia,-33.190509000000006,-68.46081
524,ar,rosario,-32.946818,-60.639317000000005
525,ar,salta,-24.785895999999997,-65.411664
526,ar,san carlos de bariloche,-41.140293,-71.301369
527,ar,san francisco,-31.427971000000003,-62.08265600000001
528,ar,san juan,-31.5375,-68.536389
529,ar,san lorenzo,-28.133060999999998,-58.767331000000006
530,ar,san luis,-33.295012,-66.335627
531,ar,san martin,-33.081031,-68.468138
532,ar,san nicolas,-33.335784000000004,-60.225232999999996
533,ar,san pedro,-33.679127,-59.666635
534,ar,san pedro,-24.231266,-64.866141
535,ar,san rafael,-34.617717,-68.330066
536,ar,san ramon de la nueva oran,-23.133979999999998,-64.32464499999999
537,ar,santa fe,-31.629484,-60.701036
538,ar,santa rosa,-36.616667,-64.283333
539,ar,santiago del estero,-27.795112,-64.261489
540,ar,san vicente,-34.982645,-58.376169
541,ar,tandil,-37.321674,-59.133164
542,ar,tartagal,-22.516365,-63.801314
543,ar,trelew,-43.250075,-65.313295
544,ar,tres arroyos,-38.373939,-60.27978100000001
545,ar,tucuman,-26.824144,-65.2226
546,ar,ushuaia,-54.8,-68.3
547,ar,veinticinco de mayo,-35.432303000000005,-60.172706999999996
548,ar,venado tuerto,-33.745564,-61.968844999999995
549,ar,victoria,-32.619888,-60.153907
550,ar,viedma,-40.813452000000005,-62.996676
551,ar,villa carlos paz,-31.424138,-64.497778
552,ar,villa constitucion,-33.227778,-60.329699
553,ar,villa maria,-32.407514,-63.240161
554,ar,zarate,-34.098141999999996,-59.028585
555,at,absam,47.3,11.5
556,at,abtenau,47.55,13.35
557,at,altach,47.35,9.65
558,at,althofen,47.15,14.233332999999998
559,at,altmunster,47.9,13.75
560,at,amstetten,48.116667,14.866667000000001
561,at,anif,47.75,13.066667
562,at,ansfelden,48.2,14.283332999999999
563,at,arnoldstein,46.546110999999996,13.71
564,at,asten,48.216667,14.4
565,at,axams,47.233333,11.3
566,at,bad aussee,47.6,13.783332999999999
567,at,baden,48.016667,16.233333
568,at,bad goisern,47.633333,13.616667000000001
569,at,bad hall,48.033333,14.2
570,at,bad hofgastein,47.166667,13.1
571,at,bad ischl,47.716667,13.616667000000001
572,at,bad sankt leonhard,46.962778,14.791667000000002
573,at,bad voslau,47.966667,16.2
574,at,barnbach,46.983333,16.05
575,at,bergheim,47.833333,13.033333
576,at,berndorf,47.95,16.1
577,at,bischofshofen,47.416667,13.216667000000001
578,at,bludenz,47.149722,9.816667
579,at,braunau,48.266667,13.033333
580,at,bregenz,47.5,9.766667
581,at,bruck an der leitha,48.016667,16.766667
582,at,bruck an der mur,47.416667,15.283332999999999
583,at,deutschlandsberg,46.815278,15.222222
584,at,deutsch-wagram,48.299721999999996,16.566667000000002
585,at,dornbirn,47.416667,9.733056
586,at,ebbs,47.633333,12.216667
587,at,ebensee,47.8,13.766667000000002
588,at,ebenthal,46.608056,14.364167000000002
589,at,eberndorf,46.591389,14.643610999999998
590,at,ebreichsdorf,47.95,16.4
591,at,eisenerz,47.533333,14.883332999999999
592,at,eisenstadt,47.85,16.516667
593,at,engerwitzdorf,48.35,14.45
594,at,enns,48.2,14.466667000000001
595,at,feldbach,46.953056,15.888333
596,at,feldkirchen an der donau,48.35,14.05
597,at,feldkirchen,46.716667,14.1
598,at,feldkirch,47.233056,9.6
599,at,ferlach,46.526944,14.301944
600,at,finkenstein,46.565556,13.865278
601,at,fohnsdorf,47.2,14.683333
602,at,frankenburg,48.066666999999995,13.483332999999998
603,at,freistadt,48.5,14.5
604,at,friesach,46.955278,14.405833
605,at,frohnleiten,47.266667,15.316667
606,at,fugen,47.35,11.85
607,at,furstenfeld,47.05,16.083333
608,at,gallneukirchen,48.35,14.416667000000002
609,at,ganserndorf,48.35,16.733333
610,at,garsten,48.016667,14.4
611,at,gleisdorf,47.1,15.716667000000001
612,at,gloggnitz,47.666667,15.933333
613,at,gmunden,47.916667,13.8
614,at,gmund,48.766667,14.983332999999998
615,at,gotzis,47.333056,9.633056
616,at,gratkorn,47.133333,15.35
617,at,graz,47.066666999999995,15.45
618,at,grieskirchen,48.233333,13.833332999999998
619,at,grodig,47.733333,13.033333
620,at,guntramsdorf,48.033333,16.3
621,at,haag,48.15,15.5
622,at,hainburg,48.15,16.933332999999998
623,at,hallein,47.683333000000005,13.1
624,at,hall,47.6,14.45
625,at,hard,47.483056,9.683056
626,at,heidenreichstein,48.866667,15.116667000000001
627,at,hermagor,46.627221999999996,13.367222
628,at,herzogenburg,48.266667,15.683333
629,at,himberg,48.083333,16.433332999999998
630,at,hochst,47.466667,9.633056
631,at,hohenems,47.366667,9.683056
632,at,hollabrunn,48.55,16.083333
633,at,hopfgarten,47.45,12.166667
634,at,horbranz,47.55,9.75
635,at,horn,48.65,15.65
636,at,horsching,48.233333,14.183333
637,at,imst,47.233333,10.733333
638,at,innsbruck,47.266667,11.4
639,at,jenbach,47.4,11.783333
640,at,jennersdorf,46.939167,16.146667
641,at,judenburg,47.166667,14.666667000000002
642,at,kapfenberg,47.433333000000005,15.3
643,at,kindberg,47.5,15.45
644,at,kirchbichl,47.516667,12.083333
645,at,kitzbuhel,47.45,12.383333
646,at,klagenfurt,46.624722,14.305278
